,Last Date of Month,Returns_JPN,Returns_SWE,Returns_CHE,Returns_GBR,Returns_BEL,Returns_FRA,Returns_DEU,Returns_ITA,Returns_NLD,Portfolio_Returns
55,2017-02-28,-3.863036242828369,-1.5639565843582153,-0.0016717268055248258,0.6179393374229432,-0.13947139912986756,-0.24783094459915161,-0.16682610148334504,-0.1831370764389038,-0.2710190587654114,-0.6465566441095383
56,2017-03-31,-4.038911969909668,-1.6176486505508423,0.0011517908519077316,0.6109436103256226,-0.14258621102046967,-0.23767306869697571,-0.1792910492963791,-0.1430807358570099,-0.25606464808654783,-0.6670178813600403
57,2017-04-30,-4.045329446563721,-1.6262297758102418,-0.06257192645072937,0.6621935272705078,-0.055359035941123964,-0.26352645477867126,-0.10961394033050537,-0.11887286624526977,-0.32035453638648986,-0.6599627172484717
58,2017-05-31,-4.129386572418213,-1.6820099647521973,-0.02980505580306053,0.5386660994857788,-0.10100224943637848,-0.3027595165538788,-0.16244080992221832,-0.1470905426311493,-0.3103883448410034,-0.7029129952080355
59,2017-06-30,-4.061571808776855,-1.6709729997634888,0.01273616786599159,0.5545686022193909,-0.11233536789417267,-0.3164769698143005,-0.19562251756191254,-0.23257316539287567,-0.28982055077552793,-0.7013409566548612
60,2017-07-31,-3.994371704864502,-1.6275219228744506,-0.004905553597211839,0.5767636308135986,-0.12466000277614593,-0.3121082510433197,-0.20631194371795655,-0.2622882451496124,-0.2845903660736084,-0.6933327065870232
61,2017-08-31,-4.196625711975098,-1.7015671207427978,-0.03928404814600944,0.573192259450531,-0.07243201030158997,-0.30417865408325195,-0.22044040156269074,-0.1489901233997345,-0.3397791971054077,-0.7166783342073386
62,2017-09-30,-3.989170553741455,-1.661019478225708,-0.0027273098886013043,0.5590766160263062,-0.08591034415340423,-0.2404470831451416,-0.17548892798995971,-0.17133692803955078,-0.3038490802345276,-0.6745414543768936
63,2017-10-31,-3.8472719624328615,-1.5946103340148925,0.08112210977673531,0.5656831125534058,-0.19172521839618684,-0.2584181220340729,-0.2143371642637253,-0.3473376126098633,-0.24430424879074097,-0.6723554933569112
64,2017-11-30,-3.7266403672027586,-1.4995110342025757,-0.01146640142798424,0.6575892354362488,-0.14859065164089202,-0.26897950221061706,-0.18890937913417816,-0.1922490422821045,-0.26484630752563476,-0.6270670500211663
65,2017-12-31,-3.6900296520996094,-1.474767670249939,-0.022495203441381454,0.6888110655120849,-0.13071120574092865,-0.2768554319343567,-0.15434096052265167,-0.18446105017280578,-0.2741657127342224,-0.6132239801537566
66,2018-01-31,-3.776712649230957,-1.5308311336517333,-0.04015851244926453,0.6328845421791076,-0.08799448458194734,-0.30944569257736204,-0.18446534720897675,-0.09860364941596986,-0.32782016543388365,-0.6359052324856651
67,2018-02-28,-3.557036999588013,-1.4314062553405762,0.002135107094049453,0.6593897101013183,-0.1460859716320038,-0.31270181540489195,-0.1661842257165909,-0.2076030612373352,-0.25859778527259825,-0.6020101441107379
68,2018-03-31,-3.681745040817261,-1.465032951927185,0.029212270933389663,0.6787963933952331,-0.18611593043422697,-0.3168265471420288,-0.18090472614383696,-0.2722158977947235,-0.20718904828643797,-0.6224468309130086
69,2018-04-30,-3.8068212954711913,-1.5659618152618409,-0.05455390720367431,0.744770785874939,-0.039403891172409056,-0.362086689081192,-0.1452641989850998,-0.10089660247802734,-0.3048415835762024,-0.6261176885949663
70,2018-05-31,-3.8326453186798095,-1.5425982250213623,-0.04033104009628295,0.6505777890701294,-0.05662841367530823,-0.41501346993255617,-0.1722537206392288,-0.12114308047103882,-0.32854069042015077,-0.6509529077628453
71,2018-06-30,-3.8557182072448732,-1.5673885452270508,-0.03430249546546936,0.632236558631134,-0.0666964849281311,-0.4378222426223755,-0.1832363506603241,-0.1207540234375,-0.37227179611206057,-0.6673281763407388
72,2018-07-31,-3.80509529586792,-1.5228006282806397,-0.02558417839407921,0.6769010233360291,-0.06880518085289002,-0.4546471763305664,-0.17693177646923064,-0.10460948235321045,-0.3515119779758453,-0.6481205192431504
73,2018-08-31,-4.051893605957031,-1.6024370134353638,-0.07568447089195252,0.6790082791381836,-0.03826039436817169,-0.44178209606170654,-0.1574380636548996,-0.051984408531188964,-0.4074381083583832,-0.6831010980133905
74,2018-09-30,-3.861872373199463,-1.5901114156723022,-0.06486458382606507,0.631577127116394,-0.0252847915585041,-0.36841321569633484,-0.12865010482025147,-0.012204980670928952,-0.3853066919441223,-0.6450145589190641
75,2018-10-31,-3.701275383758545,-1.4940660875320435,-0.016622495073080064,0.6208904659301758,-0.09618236217308045,-0.3799162665348053,-0.16923862788486482,-0.164852873418808,-0.33864958677101137,-0.6377681352462291
76,2018-11-30,-3.609713070297241,-1.44266209564209,-0.04251528038978576,0.6904104120056153,-0.1014285927400589,-0.3623349761352539,-0.16070495003318785,-0.047233412204742434,-0.33115164393043517,-0.6008148454852422
77,2018-12-31,-3.473729222869873,-1.3582101621627807,-0.10325712590217591,0.7131474171882629,-0.036110654645919796,-0.33438734727478026,-0.12209178524589538,0.0348442958804369,-0.30408169346427916,-0.5537640309441115
78,2019-01-31,-3.5506453079223634,-1.3977093908309937,-0.12563282504081727,0.7305498207595825,-0.011027073432207112,-0.351241426486969,-0.06355080189228059,-0.047379927654266366,-0.3361773061943054,-0.5725349154105134
